V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1z883MXyWhYUvUp,Default Response Set,Anonymous,,,,4,2017-04-25 02:00:00,2017-04-25 02:00:00,1,,W.K. Kellogg Foundation,,,New Orleans Recreation Development Foundation,https://www.wkkf.org/grants/grant/2016/04/linking-community-assets-for-a-fit-nola-lcafit-nola-3034029,05/06/16,Funding Abstract,,,,,,,,06/01/18,https://www.wkkf.org/grants/grant/2016/04/linking-community-assets-for-a-fit-nola-lcafit-nola-3034029,"$700,000",,,,,,,-1,
R_dilauTMCblsKXhb,Default Response Set,Anonymous,,,,4,2017-04-25 02:00:00,2017-04-25 02:00:00,1,,W.K. Kellogg Foundation,,,America Votes,https://www.wkkf.org/grants/grant/2016/04/new-mexico-narrative-project-3034097,05/06/16,Funding Abstract,,,,,,,,12/01/18,https://www.wkkf.org/grants/grant/2016/04/new-mexico-narrative-project-3034097,"$330,000",,,,,,,-1,
R_cGRlN8l1knoOT4x,Default Response Set,Anonymous,,,,4,2017-04-25 02:00:00,2017-04-25 02:00:00,1,,W.K. Kellogg Foundation,,,Mississippi State University Research & Technology Corp.,https://www.wkkf.org/grants/grant/2016/04/mississippi-data-project-3033222,05/06/16,Funding Abstract,,,,,,,,02/01/19,https://www.wkkf.org/grants/grant/2016/04/mississippi-data-project-3033222,"$992,775",,,,,,,-1,
R_elCxz7cKOED9se9,Default Response Set,Anonymous,,,,4,2017-04-25 02:00:00,2017-04-25 02:00:00,1,,W.K. Kellogg Foundation,,,"Community Catalyst, Inc",https://www.wkkf.org/grants/grant/2016/04/building-and-strengthening-advocacy-capacity-to-maximize-health-and-economic-well-being-of-children,05/06/16,Funding Abstract,,,,,,,,03/01/19,https://www.wkkf.org/grants/grant/2016/04/building-and-strengthening-advocacy-capacity-to-maximize-health-and-economic-well-being-of-children,"$3,429,570",,,,,,,-1,
R_9BvRSgTxY51isjr,Default Response Set,Anonymous,,,,4,2017-04-25 02:00:00,2017-04-25 02:00:00,1,,W.K. Kellogg Foundation,,,Chicago Community Foundation,https://www.wkkf.org/grants/grant/2016/04/chicagoland-low-wage-workforce-racial-equity-project-3034336,05/06/16,Funding Abstract,,,,,,,,03/01/19,https://www.wkkf.org/grants/grant/2016/04/chicagoland-low-wage-workforce-racial-equity-project-3034336,"$875,000",,,,,,,-1,
R_5AshqivQumH7tZj,Default Response Set,Anonymous,,,,4,2017-04-25 02:00:00,2017-04-25 02:00:00,1,,W.K. Kellogg Foundation,,,Rio Grande Community Development Corporation,https://www.wkkf.org/grants/grant/2016/04/elevalle-3033824,05/06/16,Funding Abstract,,,,,,,,03/01/19,https://www.wkkf.org/grants/grant/2016/04/elevalle-3033824,"$1,080,698",,,,,,,-1,
R_3O8bid9ERBhZbiR,Default Response Set,Anonymous,,,,4,2017-04-25 02:00:00,2017-04-25 02:00:00,1,,W.K. Kellogg Foundation,,,Haiti Christian Development,https://www.wkkf.org/grants/grant/2016/04/association-pour-le-developpement-de-fond-des-blancs-adf-3033749,05/06/16,Funding Abstract,,,,,,,,04/01/19,https://www.wkkf.org/grants/grant/2016/04/association-pour-le-developpement-de-fond-des-blancs-adf-3033749,"$350,000",,,,,,,-1,
R_8cfsdqjRgaQP2eN,Default Response Set,Anonymous,,,,4,2017-04-25 02:00:00,2017-04-25 02:00:00,1,,W.K. Kellogg Foundation,,,Partners in Development Corporation,https://www.wkkf.org/grants/grant/2016/04/eleu-family-child-interaction-learning-initiative-3034243,05/06/16,Funding Abstract,,,,,,,,04/01/19,https://www.wkkf.org/grants/grant/2016/04/eleu-family-child-interaction-learning-initiative-3034243,"$900,000",,,,,,,-1,
R_1oGzwCAEBd9gyE4,Default Response Set,Anonymous,,,152.23.166.224,0,2017-05-01 12:39:51,2017-05-01 12:44:48,1,1,National Institute on Minority Health and Health Disparities,,,NIMHD Grantee at University of Maryland Creates Video for Mentor Training to Improve Diversity in Science,https://content.govdelivery.com/accounts/USNIHNIMHD/bulletins/194c7ff,05/01/2017,External Event,1,,2017-05-01,2017-05-05,Webinar,,,,,,,,"To improve mentoring relationships and support the persistence and success of HU individuals in science, the National Research Mentoring Network (NRMN) has developed new mentor training to equip mentors with the skills and knowledge necessary to support a diverse scientific workforce. Visit the website to view a video created by the NIMHD Centers of Excellence grantee at the University of Maryland. ",https://content.govdelivery.com/system/images/52465/original/NIHNIMHD_blog-banner.png?1454430020,36.052505493164,-79.107696533203,-1,
R_3DnYmNnsRva5a25,Default Response Set,Anonymous,,,152.23.166.224,0,2017-05-01 12:50:46,2017-05-01 13:21:18,1,1,Robert Wood Johnson Foundation,,,System and Services Research for Better Health,http://www.rwjf.org/en/culture-of-health/2017/04/system-and-services-research-for-better-health.html?rid=k_sRCXLlm6VkKEQV7NuIt7wS_nEGguhk&et_cid=872121,05/01/2017,Funding,,,,,,1,2017-05-01,2017-05-05,http://www.rwjf.org/en/culture-of-health/2017/04/system-and-services-research-for-better-health.html?rid=k_sRCXLlm6VkKEQV7NuIt7wS_nEGguhk&et_cid=872121,Varies,,,"Systems for Action is looking for research teams from nonprofit and/or research institutions that can uncover brand-new ways to better align the systems that impact health. We’re specifically looking for studies that focus on system alignment that engages all three of the broad sectors referenced in the S4A research agenda, including medical care, public health, and social and community services and supports. /  / ",,36.052505493164,-79.107696533203,-1,
R_3qKGycztMjWd3DL,Default Response Set,Anonymous,,,152.23.166.224,0,2017-05-01 13:25:16,2017-05-01 13:30:24,1,1,Robert Wood Johnson Foundation,,,New Connections: Increasing Diversity of RWJF Programming,http://www.rwjf-newconnections.org/funding-opportunities/,05/01/2017,Funding,,,,,,1,2017-05-01,2017-05-16,http://www.rwjf.org/en/library/funding-opportunities/2017/new-connections--increasing-diversity-of-rwjf-programming.html,Varies,,,"New Connections is a career development program for early-career researchers and consultants from underrepresented groups. We provide support to our funded scholars and non-funded members of our network of eligible scholars. Through grantmaking, networking opportunities, and career development, we enhance the research capacity of our funded scholars and network members.",,36.052505493164,-79.107696533203,-1,
R_3ltr4xmWWCDdLuZ,Default Response Set,Anonymous,,,152.23.166.224,0,2017-05-01 13:08:53,2017-05-01 13:54:55,1,1,Office of Minority Health at HHS,,,Mid-Atlantic States RHEC’s Increasing Health Equity Webinar: How Three States Are Addressing the Social Determinants of Health,https://calendar.google.com/calendar/render?eid=NG4zbWc3MmNzMWZrczI2bmRlYm5oNm0yaG8gbnBhLXJoZWMub3JnX2xpdHE3cm44ZjI5Y3RkdWtiNTRvNnExaXVjQGc&ctz=America/New_York&sf=true&output=xml#eventpage_6,05/01/2017,External Event,1,,04/25/2017,04/25/2017,Webinar,,,,,,,,"The Mid-Atlantic Regional Health Equity Council (RHEC) aims to inform and strengthen programs, practices, policies, and services that contribute to achieving better health for all within Delaware, Maryland, Pennsylvania, Virginia, West Virginia, and the District of Columbia by eliminating health disparities, addressing the determinants of health, and stimulating communities to empower themselves. ",http://region3.npa-rhec.org/_/rsrc/1468930430853/regional-overview/RHEC_Map_final.jpg?height=auto&width=100%25,36.052505493164,-79.107696533203,-1,
R_3yeog44UrADoNRb,Default Response Set,Anonymous,,,152.23.83.239,0,2017-05-02 14:09:40,2017-05-02 14:12:28,1,1,National Partnership for Action to End Health Disparities,,,American Indian and Alaska Native Behavioral Health Webinar Series: The National Tribal Behavioral Health Agenda,https://events-na11.adobeconnect.com/content/connect/c1/1312818331/en/events/event/private/1313011123/1418830151/event_landing.html?sco-id=1626164736&_charset_=utf-8,05/01/2017,External Event,1,,2017-04-26,2017-04-26,Webinar,,,,,,,,"The National Tribal Behavioral Health Agenda (TBHA) marks the first tribally informed blueprint for improving behavioral health outcomes in American Indian and Alaska Native (AI/AN) communities. The TBHA was developed collaboratively by the Substance Abuse and Mental Health Services Administration (SAMHSA), Indian Health Service, and National Indian Health Board (NIHB) in close consultation with tribal leaders. / ",https://events-na11.adobeconnect.com/content/connect/c1/1312818331/en/events/event/private/1313011123/1418830151/event_landing/jcr:content/par/eventbannerlarge.eventbannerlarge.png?imgUrl=https://explorepsa.adobeconnect.com/_a1312818331/aianwebseries/event/event_banner_large.png&defaultImg=/etc/designs/connect/images/EventBannerLarge_740x300.jpg&preWidth=740&preHeight=300&sco-id=1626164736&dm=1493238599557,36.052505493164,-79.107696533203,-1,
R_eJ7kTDEuLewwI7P,Default Response Set,Anonymous,,,152.23.83.239,0,2017-05-02 15:08:28,2017-05-02 15:09:18,1,1,National Institute of Health,,,"2017 NIA Health Disparities Research Supplement FOA, Aging Biology Research to Address Health Disparities.",https://grants.nih.gov/grants/guide/pa-files/PA-17-164.html,05/06/16,Funding,,,,,,1,,2017-05-03,https://grants.nih.gov/grants/guide/pa-files/PA-17-164.html,varies,,,"This FY 2017 Administrative Supplement program is offered to support research that addresses disparities in aging and health, with specific focus on biological processes and mechanisms that are relevant to health disparities in aging.",,36.052505493164,-79.107696533203,-1,
R_3PdfHFqOKlGAkFJ,Default Response Set,Anonymous,,,152.23.83.239,0,2017-05-02 16:34:29,2017-05-02 16:46:02,1,1,UNC Center for Health Equity Research,,,Hayley Cunningham - Students Help Community Flourish,https://cher.unc.edu/cher-news/students-help-community-flourish/,05/02/2017,CHER News,,,,,,,,,,,1,,"&lt;a href=""https://cher.unc.edu/cher-personnel/hayley-elisabeth-cunningham/"" target=""_blank""&gt;Hayley Cunningham&lt;/a&gt;, a third-year medical student at the UNC School of Medicine, created &lt;a href=""https://cher.unc.edu/unc-flourish/""&gt;UNC Flourish&lt;/a&gt; a year ago in order to help people find health. &lt;a href=""http://southernneighbor.com/2017/03/students-help-community-flourish/"" target=""_blank""&gt;Read more in Southern Neighbor&lt;/a&gt;.",https://cher.unc.edu/files/2017/04/Hayley-Elisabeth-Cunningham_UNC.jpg,36.052505493164,-79.107696533203,-1,
R_5gohRekj9u5HmSN,Default Response Set,Anonymous,,,152.23.83.239,0,2017-05-02 16:50:55,2017-05-02 16:51:46,1,1,National Partnership for Action to End Health Disparities,,,Graduate Research Assistant Position Announcement,none available,05/01/2017,Funding,,,,,,1,2017-05-01,2017-05-05,none,Hourly Wage,,,"&lt;a href=""https://pharmacy.unc.edu/""&gt;The School of Pharmacy&lt;/a&gt; is seeking a part-time temporary Graduate Research Assistant.  /  / Hiring Manager: Caprice Hunt, Project Director /  / Work Hours: 20 Hours/week. /  / Hiring Salary Range: $14-$18/per hour /  / Must submit a cover letter, resume and a list of 3 references to the Project Director, Caprice Hunt (caprice_hunt@med.unc.edu)  / ",,36.052505493164,-79.107696533203,-1,
R_Qh2zJcpqPABMbkZ,Default Response Set,Anonymous,,,45.37.123.52,0,2017-05-03 13:21:10,2017-05-03 13:23:41,1,1,UNC Center for Health Equity Research,,,Tiffany L. Young Named Postdoc of the Month,https://cher.unc.edu/cher-news/tiffany-l-young-named-postdoc-of-the-month/,05/03/2017,CHER News,,,,,,,,,,,1,,"Congratulations to CHER Postdoctoral Associate, Tiffany L. Young, PhD for being named the Social Medicine Postdoc of the Month for May 2017. Dr. Young and her research team were recently selected to participate in the Community-Based Participatory Research Partnership (CBPR) Academy, which is offered through the Detroit Urban Research Center.",https://cher.unc.edu/files/2017/01/tiffany-young.jpg,35.966598510742,-79.041000366211,-1,
R_5bFomXumqQeBmap,Default Response Set,Anonymous,,,45.37.123.52,0,2017-05-03 13:26:43,2017-05-03 13:28:10,1,1,UNC Center for Health Equity Research,,,CHER May Work in Progress Meeting,https://cher.unc.edu/event/cher-monthly-work-progresswip-meeting-2017-04-05/,01/26/17,CHER Event,,1,2017-05-24,2017-05-24,2020 Bondurant Hall,,,,,,,,"Please save the date to join us for the May Work In Progress meeting with Portia Flowers, PhD, one of our CHER Affiliates. Dr. Flowers will be presenting on the following, and receiving feedback for her presentation: Health Disparities and Biomechanical Outcomes Related to Osteoarthritis.",https://cher.unc.edu/files/2017/02/Portia-Flowers.jpg,35.966598510742,-79.041000366211,-1,
R_07iuAGgdnBx8t2R,Default Response Set,Anonymous,,,45.37.123.52,0,2017-05-03 13:47:47,2017-05-03 13:48:03,1,1,UNC Center for Health Equity Research,,,"SGIM Announces New Leadership, Including Dr. Corbie-Smith",https://cher.unc.edu/cher-news/sgim-names-new-president-council-members/,05/02/2017,CHER News,,,,,,,,,,,1,,"Giselle Corbie-Smith, MD, MSc, Kenan Distinguished Professor in the Departments of Social Medicine and Medicine, has been elected as President-Elect of the Society of General Internal Medicine (SGIM) Leadership Council and will serve as President from 2017-2020.",http://www.sgim.org/images/logo.png,36.052505493164,-79.107696533203,-1,
R_d6hE7RPRjU4Mtpj,Default Response Set,Anonymous,,,152.23.83.239,0,2017-05-02 13:59:21,2017-05-02 14:13:36,0,1,National Partnership for Action to End Health Disparities,,,American Indian and Alaska Native Behavioral Health Webinar Series: The National Tribal Behavioral Health Agenda,https://events-na11.adobeconnect.com/content/connect/c1/1312818331/en/events/event/private/1313011123/1418830151/event_landing.html?sco-id=1626164736&_charset_=utf-8,05/01/2017,External Event,1,,2017-04-26,2017-04-26,Webinar,,,,,,,,"The National Tribal Behavioral Health Agenda (TBHA) marks the first tribally informed blueprint for improving behavioral health outcomes in American Indian and Alaska Native (AI/AN) communities. The TBHA was developed collaboratively by the Substance Abuse and Mental Health Services Administration (SAMHSA), Indian Health Service, and National Indian Health Board (NIHB) in close consultation with tribal leaders. / ",https://events-na11.adobeconnect.com/content/connect/c1/1312818331/en/events/event/private/1313011123/1418830151/event_landing/jcr:content/par/eventbannerlarge.eventbannerlarge.png?imgUrl=https://explorepsa.adobeconnect.com/_a1312818331/aianwebseries/event/event_banner_large.png&defaultImg=/etc/designs/connect/images/EventBannerLarge_740x300.jpg&preWidth=740&preHeight=300&sco-id=1626164736&dm=1493238599557,36.052505493164,-79.107696533203,-1,
R_10NSV8rdsLnfNPW,Default Response Set,Anonymous,,,152.23.166.161,0,2017-05-19 09:00:22,2017-05-19 09:27:57,1,1,"Health Disparities, Education, Awareness, Research & Training",,,15th Annual Disparities in Health in America: Working Toward Social Justice Workshop,http://www.hdeartconsortium.org/wp-content/uploads/2016/03/2017-HDEART-WORKSHOP-PROGRAM-WEB-PAGE.pdf,05/19/2017,External Event,1,,2017-06-19,2017-06-24,"Jesse H Jones Graduate School Of Business / Houston, Texas ",,,,,,,,"Known as the premier health disparities/health equity meeting in the nation, the workshop covers a varity of aspects focused on addressing health in this nation in biopsychosocial manner. This year, we are devoting one full day to the issue of mental health and health inequities. The session is being co-cponsored by the Hogg Foundation on Mental Health at the University of Texas Austin. This year's workshop wil be held on the campus of Rice University in the Jones Graduate School of Business Shell Auditorium. Poster Presentation abstracts are now being accepted. In addition, students from HDEART members institutions may be able to earn 3 units of academic credit.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F29195450%2F175777634208%2F1%2Foriginal.jpg?w=800&rect=47%2C0%2C1618%2C809&s=5de5d1d0233f21b2aeac5a7b4eb2af02,36.052505493164,-79.107696533203,-1,
R_2y326bRPqm12VVE,Default Response Set,Anonymous,,,152.23.166.161,0,2017-05-19 09:28:00,2017-05-19 10:05:47,1,1,UNC The Odum Institute,,,Data Matters: Data science short course series,http://www.cvent.com/events/data-matters-data-science-short-course-series/event-summary-a40dd9fdf83646ddb52e36c7f9704930.aspx,05/19/2017,External Event,1,,2017-08-07,2017-08-11,"North Carolina State University / Raleigh, NC",,,,,,,,"Data Matters™ is a week-long series of one and two-day courses aimed at professionals in business, research, and government. If you are struggling to stay afloat in the data deluge, grappling with large, complex data, or simply want to sharpen your data science skills, Data Matters is for you. Visit &lt;a href=""http://odum.unc.edu/2017/04/data-matters/""&gt; this site&lt;/a&gt; for a complete list of courses offered.",http://custom.cvent.com/7FB07D82764345F7B381CFDD0E80FE57/pix/43010a4a45e748778a9cdc6615c28eb8.png,36.052505493164,-79.107696533203,-1,
R_DD0kL5uWD4i5x2p,Default Response Set,Anonymous,,,152.23.166.161,0,2017-05-19 10:35:34,2017-05-19 10:41:45,1,1,Robert Wood Johnson Foundation,,,Evidence for Action: Investigator-Initiated Research to Build a Culture of Health Open Call for Proposals,http://www.rwjf.org/en/library/funding-opportunities/2015/evidence-for-action-investigator-initiated-research-to-build-a-culture-of-health.html?rid=k_sRCXLlm6VkKEQV7NuIt7wS_nEGguhk&et_cid=877033,05/19/2017,Funding,,,,,,1,2015-06-01,2017-05-24,https://my.rwjf.org/login.do?cfp=2451&applyCfpId=2451,Varies,,,"Evidence for Action (E4A), a national program of the Robert Wood Johnson Foundation, funds research that expands the evidence base needed to build a Culture of Health. Our mission is to support rigorously designed quantitative, qualitative, and mixed methods research that yields convincing findings regarding the population health, well-being, and equity impacts of specific policies, programs and partnerships. We are especially interested in research examining the health impacts of programmatic or policy interventions that address factors outside the domain of health care services or public health practice.",,36.052505493164,-79.107696533203,-1,
R_2dlFK5GQeB7NrQc,Default Response Set,Anonymous,,,152.23.166.161,0,2017-05-19 10:41:47,2017-05-19 11:21:02,1,1,Robert Wood Johnson Foundation,,,RWJF: Eleventh Bi-Annual Symposium,https://www.research.net/r/TRCFVFV,05/19/2017,External Event,1,,2017-07-12,2017-07-13,"Boston, MA",,,,,,,,"The Robert Wood Johnson Foundation New Connections Program is excited to announce that its Eleventh Bi-Annual Symposium will be held in Boston, MA on July 12-13, 2017. The Symposium aims to increase the visibility and enhance the skills of New Connections grantees, network members, and potential grant applicants. New Connections scholars are early-career researchers from historically underrepresented groups. /  / As always, RWJF supports scholarship in public health, psychology, social work, and other allied social and health sciences.  And as the Foundation builds its vision for a Culture of Health, it also welcomes participation from scholars in fields outside of the traditional health/healthcare and social science disciplines. These fields include: urban planning and architecture, business ",http://www.healthleadsusa.org/wp-content/uploads/rwjflogo2.jpg,36.052505493164,-79.107696533203,-1,
R_AHf2DLJkw7Et12p,Default Response Set,Anonymous,,,152.23.177.206,0,2017-05-23 11:18:57,2017-05-23 11:22:29,1,1,National Partnership for Action to End Health Disparities,,,American Indian and Alaska Native Behavioral Health Webinar Series,https://events-na11.adobeconnect.com/content/connect/c1/1312818331/en/events/event/private/1313011123/1418830151/speaker_info.html?sco-id=1634919727,05/23/2017,External Event,1,,2017-05-18,2017-05-18,Webinar,,,,,,,,"Each year, more than 44,000 Americans die from suicide, making it the 10th leading cause of death in the country. The prevalence of suicide among American Indians and Alaska Natives is even higher than within the general population. /  / This webinar will feature the Hope Squad Program, a school-based peer advocate program that is working to prevent suicide and decrease the incidence of untreated mental illness in at-risk youth. The Hope Squad is a peer support team in a school community that partners with local mental health agencies to identify and refer at-risk peers. Hope Squad members are trained to watch for at-risk students, provide friendship, identify suicide warning signs, and always seek help from adults. / ",https://events-na11.adobeconnect.com/content/connect/c1/1312818331/en/events/event/private/1313011123/1418830151/speaker_info/jcr:content/par/eventbannerlarge.eventbannerlarge.png?imgUrl=https://explorepsa.adobeconnect.com/_a1312818331/hopesquad-1/event/event_banner_large.jpg&defaultImg=/etc/designs/connect/images/EventBannerLarge_740x300.jpg&preWidth=740&preHeight=300&sco-id=1634919727&dm=1495139400083,36.052505493164,-79.107696533203,-1,
R_5go6quMBCqfcj41,Default Response Set,Anonymous,,,152.23.177.14,0,2017-05-23 15:30:46,2017-05-23 15:31:17,1,1,Southeastern Health Equity Council,,,USDA Food Funding Mechanisms Webinar Series Webinar 1: Farmers’ Market SNAP Support Grants in the Southeast,https://events-na11.adobeconnect.com/content/connect/c1/1312818331/en/events/event/private/1313011123/1460138915/event_landing.html?sco-id=1633821219,05/19/2017,External Event,1,,2017-05-24,2017-05-24,Webinar,,,,,,,,"This webinar series, presented by the Southeastern Health Equity Council (SHEC), aims to inspire future southeastern applicants, create a learning network among grant recipients and others in the field, and serve as a platform for the sharing of tools and evaluation findings. The first webinar of the series will focus on the Farmers’ Market SNAP Support Grants received in the southeastern region. Organizations that received grants will present on the following: /  / 1) Project descriptions; / 2) Successes and challenges of increasing SNAP redemptions at farmers’ markets; / 3) Tools or other materials developed; and / 4) Evaluation findings to date. /  / DATE: Wednesday, May 24, 2017 / TIME: 1:00–2:00 p.m. Eastern Daylight Time",,36.052505493164,-79.107696533203,-1,
R_9HXgw0g8zjQYrCR,Default Response Set,Anonymous,,,152.23.177.14,0,2017-05-23 15:49:30,2017-05-23 15:49:50,1,1,Society for Prevention Research (SPR),,,Society for Prevention Research 2017 Annual Meeting,http://www.preventionresearch.org/2017-annual-meeting/,04/17/17,External Event,1,,2017-05-30,2017-06-02,"Hyatt Regency Washington on Capitol Hill, Washington, DC",,,,,,,,"Mark your calendars to attend the most important prevention science conference–the Society for Prevention Research (SPR) 25th Annual Meeting that will be held in Washington, DC, May 30 – June 2, 2017, at the Hyatt Regency Washington on Capitol Hill. This year’s theme is “Prevention and Public Systems of Care: Research, Policy and Practice.”",http://prevention-standards.eu/wp-content/uploads/2013/06/logo-spr.jpg,36.052505493164,-79.107696533203,-1,
R_5cdv1skXp1ztdHf,Default Response Set,Anonymous,,,152.23.177.14,0,2017-05-23 16:06:35,2017-05-23 16:08:54,1,1,National Institute of Health,,,Dissemination and Implementation Research in Health,http://grants.nih.gov/grants/guide/pa-files/PAR-16-238.html,05/06/16,Funding,,,,,,1,,2019-05-08,http://grants.nih.gov/grants/guide/pa-files/PAR-16-238.html,varies,,,"This Funding Opportunity Announcement (FOA) encourages investigators to submit research grant applications that will identify, develop, test, evaluate and/or refine strategies to disseminate and implement evidence-based practices (e.g. behavioral interventions; prevention, early detection, diagnostic, treatment and disease management interventions; quality improvement programs) into public health, clinical practice, and community settings. In addition, studies to advance dissemination and implementation research methods and measures are encouraged. This opportunity expires May 8th, 2019. Application budgets are not limited but do need to reflect the actual needs of the proposed project with a maximum project period of 5 years.",,36.052505493164,-79.107696533203,-1,
R_OPCwbb6AK0Gp4Vr,Default Response Set,Anonymous,,,152.23.35.104,0,2017-05-30 09:22:49,2017-05-30 09:26:53,1,1,UNC Graduate School,,,Upcoming Identifying Funding Sources Workshops for the Summer,http://gradfunding.web.unc.edu/training/,05/30/2017,External Event,1,,2017-05-30,2017-06-16,UNC Health Sciences Library,,,,,,,,"The Graduate Funding Information Center has upcoming workshops! These are the next three workshops for Summer Session I. Workshops are led / by &lt;a href=""http://gradfunding.web.unc.edu/""&gt; Graduate Funding Information Center&lt;/a&gt;  staff who cover resources for finding and applying for funding. Possible funding needs include tuition, travel grants, dissertation research, master’s paper research, stipends, or other costs associated with completing a doctoral or master’s degree. ",http://gradfunding.web.unc.edu/files/2012/01/UNC_GRADBLACK2751.jpg,36.052505493164,-79.107696533203,-1,
R_3P7xCmJRMqq5OF6,Default Response Set,Anonymous,,,152.23.35.104,0,2017-05-30 09:26:56,2017-05-30 09:31:45,1,1,Association of American Medical Colleges,,,Share your effective community health improvement work,https://www.aamc.org/initiatives/research/healthequity/,05/30/2017,External Event,1,,2017-05-30,2017-06-09,Webinar,,,,,,,,"Has your institution developed an innovative and effective community health improvement activity worth sharing? /  / In June of 2017, the AAMC will launch an online collection of effective strategies that move our communities towards health and health care equity. /  / Download a brief &lt;a href=""https://www.aamc.org/download/479708/data/communityhealthintakeform.pdf""&gt;submission form&lt;/a&gt; to have your program or project considered for inclusion. All submissions will be considered on a rolling basis, but to be included in the launch, please submit by June 9, 2017.",https://www.aamc.org/linkableblob/464880-2/data/aamclogoblue-data.png,36.052505493164,-79.107696533203,-1,
R_8upk6soNIbom76l,Default Response Set,Anonymous,,,108.51.169.128,0,2017-05-30 10:53:10,2017-05-30 10:54:11,1,1,Association of American Medical Colleges,,,AAMC Health Equity Research Update,https://www.aamc.org/initiatives/research/healthequity/364610/conferencesmeetingsandwebinars.html,05/19/2017,External Event,1,,2017-06-01,2017-06-28,Various Locations,,,,,,,,"June 2017 health equity conferences and meetings: /  / National Institutes of Health Workshop:  Inclusion Across the Lifespan / June 1-2, 2017 in Bethesda, MD /  / Children’s National Advocacy and Population Health in Academic Pediatrics Symposium / June 7, 2017 in Washington, DC /  / Johns Hopkins Bloomberg School of Public Health’s Department of Health, Behavior and Society Summer Institute 2017: Applications of Innovative Methods in Health Equity Research  / June 12-13, 2017 in Baltimore, MD /  / The Cross Cultural Care Program Connecting To Care: Patient Guide Training / June 26-28, 2017 in Seattle, WA",,36.052505493164,-79.107696533203,-1,
R_6VxunZD3J7P9fU1,Default Response Set,Anonymous,,,108.51.169.128,0,2017-05-30 11:03:31,2017-05-30 11:05:07,1,1,UNC Center for Health Equity Research,,,New Publication from CHER Associates: Medical Mistrust and Colorectal Cancer Screening Among African Americans,https://cher.unc.edu/searchpub/medical-mistrust-colorectal-cancer-screening-among-african-americans/,05/02/2017,CHER Publication,,,,,,,,,,,,1,"A recent publication by Adams Leslie B., Richmond Jennifer, Corbie-Smith Giselle, Powell Wizdom from CHER and their collaborators entitled “Medical Mistrust and Colorectal Cancer Screening Among African Americans” appears in the April edition of Journal of Community Health.",https://cher.unc.edu/files/2017/05/leslie_jennifer_giselle_wizdom-768x769.png,36.052505493164,-79.107696533203,-1,
R_0CCVzr2C1hxjaIJ,Default Response Set,Anonymous,,,108.51.169.128,0,2017-05-30 11:09:15,2017-05-30 11:09:57,1,1,Robert Wood Johnson Foundation,,,Reimagined In America Webinar,http://www.rwjf.org/en/library/collections/reimagined-in-america-webinar.html?rid=k_sRCXLlm6VkKEQV7NuIt7wS_nEGguhk&et_cid=877033,05/23/2017,External Event,1,,2017-09-01,2017-09-15,Webinar,,,,,,,,"What can the world teach us about building a Culture of Health? /  / In the next Reimagined in America webinar, we’ll be looking at solutions from Latin America to re-connect youth who are out of school or out of work. Visit webinar archives &lt;a href=""http://www.rwjf.org/en/library/collections/reimagined-in-america-webinar.html?rid=k_sRCXLlm6VkKEQV7NuIt7wS_nEGguhk&et_cid=877033""&gt; here&lt;/a&gt;, and check back early September 2017 for more information and to register.",http://www.rwjf.org/content/rwjf/en/library/collections/reimagined-in-america-webinar/_jcr_content/primary/columns_100/column1/imagelarge.no.size.img.jpg/1488484392626.jpg,36.052505493164,-79.107696533203,-1,
R_b3B32bycvdXriyp,Default Response Set,Anonymous,,,108.51.169.128,8,2017-05-30 11:28:58,2017-05-30 11:29:44,1,1,Other institution not in the list,UNC The Office for Men of Color Engagement,http://menofcolor.unc.edu/,New Resource: Barbershop Talk Program,http://menofcolor.unc.edu/,05/26/2017,External Event,1,,2017-06-01,2017-06-30,Varies,,,,,,,,"The Barbershop Talk Program provides welcome spaces — haircuts sometimes included — for men of color to navigate UNC. Visit The &lt;a href=""http://menofcolor.unc.edu/""&gt;UNC Office for Men of Color Engagement&lt;/a&gt; to learn about upcoming events. For more information about this resource, &lt;a href=""https://vimeo.com/165646633""&gt;view this video&lt;/a&gt;.",http://menofcolor.web.unc.edu/files/2015/05/moc-title-foot-small.png,36.052505493164,-79.107696533203,-1,
R_37U7C72b1XuZ4Oh,Default Response Set,Anonymous,,,108.51.169.128,0,2017-05-30 11:50:14,2017-05-30 11:50:46,1,1,UNC Center for Health Equity Research,,,Tiffany L. Young Wins Georgia State University Gerontology Institute Distinguished Alumni Award,https://cher.unc.edu/cher-news/tiffany-l-young-distinguished-alumni-award/,05/23/2017,CHER News,,,,,,,,,,,1,,"Congratulations to CHER Postdoctoral Associate, Tiffany L. Young, PhD for winning the Distinguished Alumni Award of the Gerontology Institute at Georgia State University on April 25.",https://cher.unc.edu/files/2017/05/tiffany-young-alumni-award-e1495399226531-250x250.jpg,36.052505493164,-79.107696533203,-1,
